"","Temp","WS","WD","Humi","Solar","Cloud","LowCloud","Year","Month","Day","Time"
"1",-0.3,0.5,20,62,0.05,8,8,2019,1,1,8
"2",-0.2,0,0,65,0.12,9,9,2019,1,1,9
"3",0.4,0.4,0,62,0.26,9,9,2019,1,1,10
"4",1.2,1,270,62,0.59,9,9,2019,1,1,11
"5",1.1,1.6,320,72,0.88,8,8,2019,1,1,12
"6",1.7,1,290,83,1.21,9,9,2019,1,1,13
"7",0.6,1.4,270,94,0.62,9,9,2019,1,1,14
"8",1,1.7,290,92,0.68,9,9,2019,1,1,15
"9",1.4,2.4,320,70,0.46,7,7,2019,1,1,16
"10",1.1,2.3,290,63,0.34,6,6,2019,1,1,17
"11",0.6,2.7,320,58,0.07,5,5,2019,1,1,18
"12",-2.3,1.2,50,69,0.05,2,2,2019,1,2,8
"13",-1.3,0.8,20,65,0.31,2,2,2019,1,2,9
"14",-0.2,0.5,50,60,0.76,9,9,2019,1,2,10
"15",1.6,0.6,340,58,1.33,7,7,2019,1,2,11
"16",2.7,1.3,320,55,1.86,4,4,2019,1,2,12
"17",2.5,2,360,54,1.47,2,2,2019,1,2,13
"18",2.4,2.6,20,56,1.43,6,6,2019,1,2,14
"19",3.4,2.1,360,49,1.13,7,7,2019,1,2,15
"20",3.1,1.7,360,50,1.17,4,4,2019,1,2,16
"21",1.8,3.3,20,55,0.52,3,3,2019,1,2,17
"22",0.4,0.9,20,59,0.08,0,0,2019,1,2,18
"23",-3.1,2.9,50,71,0.05,0,0,2019,1,3,8
"24",-1.1,2.6,50,62,0.43,0,0,2019,1,3,9
"25",0.5,3.6,50,58,1.07,0,0,2019,1,3,10
"26",2,2.5,50,49,1.6,0,0,2019,1,3,11
"27",3.5,0.7,360,41,1.93,0,0,2019,1,3,12
"28",3.6,0.8,50,38,2.07,0,0,2019,1,3,13
"29",5.9,1,200,35,1.89,0,0,2019,1,3,14
"30",5.5,1.5,250,31,1.55,0,0,2019,1,3,15
"31",5.5,2.4,360,23,1.16,0,0,2019,1,3,16
"32",5,2.5,20,23,0.56,0,0,2019,1,3,17
"33",3,1.3,50,30,0.09,0,0,2019,1,3,18
"34",-3.7,0.6,250,74,0.06,0,0,2019,1,4,8
"35",-2.2,0.2,0,69,0.39,3,0,2019,1,4,9
"36",0.1,1.6,290,54,0.69,3,0,2019,1,4,10
"37",0.1,0.9,230,54,0.85,10,10,2019,1,4,11
"38",1.1,0.9,200,47,0.38,10,10,2019,1,4,12
"39",1.8,0.5,200,44,0.73,10,10,2019,1,4,13
"40",2.6,0.5,250,38,0.68,10,10,2019,1,4,14
"41",3.6,0.5,20,33,0.48,10,10,2019,1,4,15
"42",3.9,0.8,70,32,0.29,10,3,2019,1,4,16
"43",3.4,0.3,0,50,0.14,10,4,2019,1,4,17
"44",3.4,0.9,70,48,0.06,10,4,2019,1,4,18
"45",1.4,0,0,81,0.06,8,8,2019,1,5,8
"46",2,1.8,20,75,0.22,3,3,2019,1,5,9
"47",2.9,1.5,360,62,0.63,2,2,2019,1,5,10
"48",4,1.5,360,49,1.35,3,3,2019,1,5,11
"49",4.5,2.2,20,41,1.81,0,0,2019,1,5,12
"50",5.4,2.2,320,27,2.03,0,0,2019,1,5,13
"51",6.5,1.1,360,24,1.9,0,0,2019,1,5,14
"52",6.1,1.8,340,19,1.56,0,0,2019,1,5,15
"53",5.5,1.5,360,23,1.18,0,0,2019,1,5,16
"54",4.4,1.2,20,36,0.55,0,0,2019,1,5,17
"55",2.3,1.3,20,47,0.1,0,0,2019,1,5,18
"56",-2.4,1,340,48,0.06,3,3,2019,1,6,8
"57",-1.6,0.4,0,44,0.38,0,0,2019,1,6,9
"58",-0.2,0.5,20,40,0.9,0,0,2019,1,6,10
"59",1.3,0.8,320,35,1.5,0,0,2019,1,6,11
"60",3.8,1,290,29,1.97,0,0,2019,1,6,12
"61",4.9,1.3,270,24,2.13,0,0,2019,1,6,13
"62",5.4,1.4,270,24,1.97,0,0,2019,1,6,14
"63",6.1,1.2,360,28,1.59,0,0,2019,1,6,15
"64",4.9,2.1,290,35,1.2,0,0,2019,1,6,16
"65",3.6,1.5,320,43,0.57,0,0,2019,1,6,17
"66",2,2.3,290,50,0.08,0,0,2019,1,6,18
"67",-3.1,0.6,270,83,0.05,0,0,2019,1,7,8
"68",-2,0.9,270,79,0.36,0,0,2019,1,7,9
"69",0.7,1,50,66,0.94,0,0,2019,1,7,10
"70",2.9,3.1,50,51,1.48,3,0,2019,1,7,11
"71",4.1,1.4,20,49,1.8,1,0,2019,1,7,12
"72",5.2,1.1,320,47,1.94,5,0,2019,1,7,13
