"","Temp","WS","WD","Humi","Solar","Cloud","LowCloud","Year","Month","Day","Time"
"1",-2.2,1.8,320,54,0,8,8,2019,1,1,8
"2",-1.9,2.5,320,54,0.12,8,8,2019,1,1,9
"3",-1.2,2.5,290,51,0.67,8,8,2019,1,1,10
"4",-0.3,4.6,290,45,0.62,9,9,2019,1,1,11
"5",0.9,4.3,290,44,1.27,7,7,2019,1,1,12
"6",2,4.5,290,40,1.71,5,5,2019,1,1,13
"7",2,5.3,290,40,1.34,7,7,2019,1,1,14
"8",2.6,5,320,40,1.32,5,5,2019,1,1,15
"9",2,5.7,290,42,0.92,4,4,2019,1,1,16
"10",1.1,6.1,290,45,0.31,3,3,2019,1,1,17
"11",0.5,5.7,290,48,0,2,2,2019,1,1,18
"12",-3.4,2.2,270,54,0,3,0,2019,1,2,8
"13",-1.9,1.7,290,52,0.37,0,0,2019,1,2,9
"14",-0.9,3.1,290,49,0.96,0,0,2019,1,2,10
"15",0.3,4.1,320,43,1.46,0,0,2019,1,2,11
"16",1.1,3,320,35,1.81,0,0,2019,1,2,12
"17",2.6,5,290,28,1.92,0,0,2019,1,2,13
"18",3.5,4.4,290,23,1.83,0,0,2019,1,2,14
"19",3.9,4.1,290,21,1.5,0,0,2019,1,2,15
"20",3.6,2.8,320,21,0.99,0,0,2019,1,2,16
"21",2.4,3,320,21,0.36,0,0,2019,1,2,17
"22",1.4,2.6,320,25,0,0,0,2019,1,2,18
"23",-2.6,2.8,290,46,0.01,0,0,2019,1,3,8
"24",-1.6,2.7,270,44,0.4,0,0,2019,1,3,9
"25",-0.2,3.2,270,35,1,0,0,2019,1,3,10
"26",1.2,3.6,290,25,1.51,0,0,2019,1,3,11
"27",2.6,2.7,290,21,1.83,0,0,2019,1,3,12
"28",3.7,3.5,270,19,1.95,0,0,2019,1,3,13
"29",4.6,4.2,270,15,1.83,0,0,2019,1,3,14
"30",5.4,4,270,13,1.49,0,0,2019,1,3,15
"31",5.3,3.4,270,13,0.98,0,0,2019,1,3,16
"32",4.6,2.6,290,13,0.37,0,0,2019,1,3,17
"33",3.2,0.6,250,14,0,0,0,2019,1,3,18
"34",-6.2,0.3,0,58,0.01,0,0,2019,1,4,8
"35",-3.9,0.6,360,52,0.38,0,0,2019,1,4,9
"36",-1.5,0.9,70,39,0.94,0,0,2019,1,4,10
"37",2.2,2,270,25,1.44,3,0,2019,1,4,11
"38",4.4,2.6,290,18,1.76,3,0,2019,1,4,12
"39",5.1,2.3,270,15,1.22,7,4,2019,1,4,13
"40",6,3.7,270,14,0.72,6,3,2019,1,4,14
"41",6.4,3.3,270,14,1.39,5,0,2019,1,4,15
"42",6.4,3.3,270,13,0.57,4,0,2019,1,4,16
"43",5.7,2.6,290,19,0.27,5,5,2019,1,4,17
"44",4.9,2.6,320,27,0,6,6,2019,1,4,18
"45",1.3,1.4,290,62,0,4,4,2019,1,5,8
"46",2,2.3,290,57,0.17,1,1,2019,1,5,9
"47",3.1,1.4,320,50,0.76,0,0,2019,1,5,10
"48",4.5,2.2,320,41,1.21,0,0,2019,1,5,11
"49",5.4,3,270,32,1.59,0,0,2019,1,5,12
"50",6.2,3.3,290,24,1.75,0,0,2019,1,5,13
"51",6.2,4.5,320,19,1.64,3,0,2019,1,5,14
"52",7.1,4.6,290,14,1.42,2,0,2019,1,5,15
"53",6.3,4.3,270,15,0.96,3,0,2019,1,5,16
"54",5,3.8,290,15,0.37,0,0,2019,1,5,17
"55",4.2,2.3,290,19,0,0,0,2019,1,5,18
"56",-4.3,0.4,0,48,0,8,7,2019,1,6,8
"57",-3.1,0.2,0,45,0.15,9,4,2019,1,6,9
"58",-1.5,1,360,38,0.56,8,0,2019,1,6,10
"59",1.5,1.9,320,27,1.26,4,0,2019,1,6,11
"60",2.7,1.7,270,22,1.74,0,0,2019,1,6,12
"61",4.7,2.7,270,18,1.89,0,0,2019,1,6,13
"62",5.6,2.9,290,14,1.83,0,0,2019,1,6,14
"63",7,2.2,270,12,1.5,0,0,2019,1,6,15
"64",6.8,3,290,11,1,0,0,2019,1,6,16
"65",5.7,2.1,320,12,0.4,0,0,2019,1,6,17
"66",4.4,1.3,340,14,0,0,0,2019,1,6,18
"67",-1.1,1.6,270,35,0,2,0,2019,1,7,8
"68",0.2,2.3,270,34,0.29,1,0,2019,1,7,9
"69",1.1,2.9,270,36,0.79,2,0,2019,1,7,10
"70",2.4,2.8,250,34,1.28,3,1,2019,1,7,11
"71",3.7,3.5,250,27,1.65,4,0,2019,1,7,12
"72",4.8,3.7,290,24,1.83,5,0,2019,1,7,13
"73",5.3,3.9,290,23,1.7,2,0,2019,1,7,14
"74",5.8,4.6,290,25,1.35,3,0,2019,1,7,15
"75",5.3,4,320,27,0.94,6,0,2019,1,7,16
"76",4.2,3,320,31,0.37,4,1,2019,1,7,17
"77",3.9,3.3,290,33,0,4,0,2019,1,7,18
"78",0.2,2.6,290,57,0,6,0,2019,1,8,8
"79",0.8,3.3,290,49,0.29,0,0,2019,1,8,9
"80",1.8,3,320,40,0.87,0,0,2019,1,8,10
"81",2.7,3.6,320,30,1.4,0,0,2019,1,8,11
"82",3.2,4.6,320,29,1.76,0,0,2019,1,8,12
"83",4.2,5.4,290,27,1.89,0,0,2019,1,8,13
"84",5,5.2,290,23,1.82,1,0,2019,1,8,14
"85",4.3,4.6,320,22,1.44,2,0,2019,1,8,15
"86",4.4,5.4,320,22,0.9,3,0,2019,1,8,16
"87",3.2,6,320,24,0.31,2,0,2019,1,8,17
"88",2.4,4.5,290,28,0,0,0,2019,1,8,18
"89",-5.4,1.7,290,32,0,6,0,2019,1,9,8
"90",-5,1.1,340,35,0.35,5,0,2019,1,9,9
"91",-3.6,2.4,290,28,0.91,4,0,2019,1,9,10
"92",-1.5,1.5,270,26,1.43,1,0,2019,1,9,11
"93",0.2,1.7,270,25,1.87,2,0,2019,1,9,12
"94",1.8,1.7,270,26,1.99,5,0,2019,1,9,13
"95",2.2,1.5,290,28,1.22,8,0,2019,1,9,14
"96",3.8,0.8,250,29,0.95,7,0,2019,1,9,15
"97",4,1.3,290,33,0.8,7,0,2019,1,9,16
"98",3.5,1.1,290,29,0.36,6,0,2019,1,9,17
"99",2.7,1,290,30,0.01,1,0,2019,1,9,18
"100",0.5,2,270,28,0,9,6,2019,1,10,8
"101",1.1,2.3,250,24,0.27,7,7,2019,1,10,9
"102",2,3.1,270,19,0.46,7,7,2019,1,10,10
"103",3.9,3.1,270,14,1.13,8,4,2019,1,10,11
"104",4.8,4.9,290,22,1.59,1,1,2019,1,10,12
"105",5.2,6.5,290,21,1.91,3,3,2019,1,10,13
"106",5.2,5.9,290,21,1.92,2,2,2019,1,10,14
"107",5.1,7.4,290,30,1.48,0,0,2019,1,10,15
"108",4.9,5.8,290,39,1,4,4,2019,1,10,16
"109",3.7,5.5,290,47,0.21,7,7,2019,1,10,17
"110",3.5,4,290,50,0,5,5,2019,1,10,18
"111",-3.1,1.4,110,74,0,4,2,2019,1,11,8
"112",-1.8,1.2,70,73,0.25,7,3,2019,1,11,9
"113",0,1,110,64,0.6,5,5,2019,1,11,10
"114",2.2,0.8,110,54,1.12,1,1,2019,1,11,11
"115",4.5,1.4,290,44,1.66,1,1,2019,1,11,12
"116",5.9,0.9,20,37,1.8,0,0,2019,1,11,13
"117",7.3,1.2,70,33,1.7,0,0,2019,1,11,14
"118",7.6,2.5,110,38,1.39,0,0,2019,1,11,15
"119",8.1,2.5,140,38,0.93,4,0,2019,1,11,16
"120",7.5,1.9,160,39,0.3,4,0,2019,1,11,17
"121",6.6,0.2,0,41,0,6,0,2019,1,11,18
"122",2.6,0.2,0,94,0,10,8,2019,1,12,8
"123",2.6,0.5,110,95,0,10,8,2019,1,12,9
"124",3,0.3,0,94,0.03,10,8,2019,1,12,10
"125",3.1,0.3,0,92,0.17,10,8,2019,1,12,11
"126",3.7,0.4,0,91,0.34,10,8,2019,1,12,12
"127",4.4,1.4,270,89,0.39,10,8,2019,1,12,13
"128",4.9,2.1,270,85,0.38,10,8,2019,1,12,14
"129",5.5,1.3,270,84,0.24,10,8,2019,1,12,15
"130",5.8,1.5,290,78,0.39,10,8,2019,1,12,16
"131",5.9,0.9,320,74,0.26,7,7,2019,1,12,17
"132",5.4,0.7,320,75,0.03,6,6,2019,1,12,18
"133",-2.8,0.2,0,98,0,10,10,2019,1,13,8
"134",-2.2,0.4,0,98,0.13,10,10,2019,1,13,9
"135",-1.2,0.3,0,98,0.35,3,3,2019,1,13,10
"136",0.5,0.5,70,98,1.16,0,0,2019,1,13,11
"137",4.3,0.9,70,78,1.63,0,0,2019,1,13,12
"138",6.4,1.4,290,54,1.77,0,0,2019,1,13,13
"139",7.2,1.7,290,49,1.67,0,0,2019,1,13,14
"140",8.8,1.8,270,46,1.35,0,0,2019,1,13,15
"141",9.3,1.7,270,41,0.91,0,0,2019,1,13,16
"142",7.6,1.3,320,45,0.38,0,0,2019,1,13,17
"143",6.4,0.9,320,49,0,0,0,2019,1,13,18
"144",-3.6,0.1,0,94,0,0,0,2019,1,14,8
"145",-1.9,0.1,0,92,0.32,0,0,2019,1,14,9
"146",-0.2,0.8,20,81,0.94,0,0,2019,1,14,10
"147",3.3,1.2,340,62,1.39,0,0,2019,1,14,11
"148",5.3,2.2,270,48,1.71,5,0,2019,1,14,12
"149",6.8,1.9,270,42,1.81,7,0,2019,1,14,13
"150",7.7,1.7,290,30,1.78,6,0,2019,1,14,14
"151",9,1.3,250,30,1.18,7,0,2019,1,14,15
"152",8.3,2.3,290,27,0.7,8,0,2019,1,14,16
"153",7.7,1.6,270,28,0.38,7,0,2019,1,14,17
"154",6.5,0.3,0,31,0,8,0,2019,1,14,18
"155",2.6,2.9,270,63,0,7,0,2019,1,15,8
"156",3.5,4.1,290,54,0.18,0,0,2019,1,15,9
"157",4.5,3.9,290,48,0.75,0,0,2019,1,15,10
"158",5.1,3.7,290,42,1.3,0,0,2019,1,15,11
"159",6.2,3.4,270,39,1.56,0,0,2019,1,15,12
"160",6.3,3.3,320,35,1.66,0,0,2019,1,15,13
"161",7.4,3.5,320,33,1.64,0,0,2019,1,15,14
"162",7.6,4.3,320,32,1.26,5,1,2019,1,15,15
"163",7.3,2.9,320,34,0.82,7,2,2019,1,15,16
"164",6.7,5.1,270,38,0.45,8,4,2019,1,15,17
"165",3.8,5.1,320,64,0.02,10,6,2019,1,15,18
"166",-5.3,4.4,290,46,0.02,4,0,2019,1,16,8
"167",-4.6,3.7,290,41,0.47,4,0,2019,1,16,9
"168",-3.1,4,270,32,1.15,3,0,2019,1,16,10
"169",-1.7,3.9,290,27,1.66,5,0,2019,1,16,11
"170",-0.9,4.6,290,23,1.91,2,0,2019,1,16,12
"171",0.6,3.9,290,23,2,3,0,2019,1,16,13
"172",1.7,3.6,270,22,1.97,0,0,2019,1,16,14
"173",2.3,3.7,290,19,1.66,0,0,2019,1,16,15
"174",2.3,4.4,320,18,1.12,0,0,2019,1,16,16
"175",1.7,3.8,290,19,0.49,0,0,2019,1,16,17
"176",0.4,4.7,320,20,0.02,0,0,2019,1,16,18
"177",-0.2,2.6,270,49,0,7,7,2019,1,17,8
"178",0.7,3.4,270,47,0.15,8,8,2019,1,17,9
"179",1.5,3.1,270,47,0.39,8,8,2019,1,17,10
"180",3.3,3.6,270,43,1.48,5,5,2019,1,17,11
"181",3.9,4.9,290,42,1.58,6,6,2019,1,17,12
"182",3.9,4.9,320,43,1.8,5,5,2019,1,17,13
"183",5,6.4,290,38,1.88,4,4,2019,1,17,14
"184",4.5,5.5,290,41,1.22,8,4,2019,1,17,15
"185",4,3.8,320,44,0.64,8,3,2019,1,17,16
"186",3.7,3.9,290,44,0.28,8,3,2019,1,17,17
"187",3,3.7,320,44,0.01,4,1,2019,1,17,18
"188",-2.3,0.7,320,62,0,0,0,2019,1,18,8
"189",0,0.7,20,56,0.38,0,0,2019,1,18,9
"190",3.3,2.1,270,46,0.95,0,0,2019,1,18,10
"191",4.1,3.1,270,42,1.46,0,0,2019,1,18,11
"192",5.4,3.5,270,39,1.79,0,0,2019,1,18,12
"193",6.1,3.4,270,35,1.91,0,0,2019,1,18,13
"194",7.3,2.8,270,32,1.79,0,0,2019,1,18,14
"195",8.3,3.5,270,28,1.54,0,0,2019,1,18,15
"196",8.8,2.2,320,27,1.02,0,0,2019,1,18,16
"197",7.7,1.6,290,28,0.38,0,0,2019,1,18,17
"198",6.2,0.5,270,32,0.01,1,0,2019,1,18,18
"199",-0.8,0.1,0,66,0,9,0,2019,1,19,8
"200",0.4,0.5,320,63,0.12,9,6,2019,1,19,9
"201",1.7,0.3,0,58,0.55,8,8,2019,1,19,10
"202",4.7,0.7,360,50,1.21,3,3,2019,1,19,11
"203",6.5,2,320,41,1.75,0,0,2019,1,19,12
"204",8.5,1.7,290,33,1.91,0,0,2019,1,19,13
"205",9.5,1.3,320,30,1.84,2,2,2019,1,19,14
"206",9.5,2,270,27,0.76,10,2,2019,1,19,15
"207",9.6,2.6,270,25,0.35,9,9,2019,1,19,16
"208",8.9,2.1,270,30,0.08,10,3,2019,1,19,17
"209",8.3,0.7,340,32,0,10,5,2019,1,19,18
"210",4.2,3.7,290,59,0,4,4,2019,1,20,8
"211",4.8,4.3,290,52,0.32,1,1,2019,1,20,9
"212",5.3,5.9,290,47,0.84,0,0,2019,1,20,10
"213",6,5.6,290,34,1.45,0,0,2019,1,20,11
"214",6.3,4.5,290,27,1.87,0,0,2019,1,20,12
"215",6.4,6.4,320,21,2.07,0,0,2019,1,20,13
"216",6.4,6.8,290,21,2.02,0,0,2019,1,20,14
"217",6,6.1,320,19,1.69,0,0,2019,1,20,15
"218",5.5,4.8,320,15,1.18,0,0,2019,1,20,16
"219",4.7,7.1,290,17,0.55,0,0,2019,1,20,17
"220",3.6,5.8,290,16,0.03,0,0,2019,1,20,18
