"","Temp","WS","WD","Humi","Solar","Cloud","LowCloud","Year","Month","Day","Time"
"1",-1.3,2.9,180,49,0.03,6,6,2019,1,1,8
"2",0.5,3.5,90,40,0.47,1,0,2019,1,1,9
"3",0.5,5.7,320,43,1.08,1,1,2019,1,1,10
"4",2.2,4.3,290,38,1.64,0,0,2019,1,1,11
"5",2.7,5.1,290,39,1.97,1,0,2019,1,1,12
"6",4.1,3,270,36,2.08,1,1,2019,1,1,13
"7",4.1,5.8,290,38,2.01,0,0,2019,1,1,14
"8",4.8,4.8,290,38,1.62,0,0,2019,1,1,15
"9",5.3,2.8,320,37,1.06,0,0,2019,1,1,16
"10",3.8,2.6,320,37,0.37,1,1,2019,1,1,17
"11",2.8,4.5,290,41,0.01,1,1,2019,1,1,18
"12",-2,2.6,110,41,0.03,0,0,2019,1,2,8
"13",-0.4,2.1,90,41,0.49,0,0,2019,1,2,9
"14",1.2,2.2,200,39,1.13,0,0,2019,1,2,10
"15",2.7,1.7,290,35,1.65,0,0,2019,1,2,11
"16",2.7,3.7,320,34,2,0,0,2019,1,2,12
"17",4.2,3.9,320,30,2.12,0,0,2019,1,2,13
"18",5.5,3.7,270,28,2.01,0,0,2019,1,2,14
"19",5.9,4.1,290,27,1.67,0,0,2019,1,2,15
"20",6.1,3.1,270,26,1.1,0,0,2019,1,2,16
"21",4.9,1.8,340,27,0.44,0,0,2019,1,2,17
"22",3.2,1.7,360,27,0,0,0,2019,1,2,18
"23",-0.9,2,20,27,0.03,0,0,2019,1,3,8
"24",0.3,2.2,320,26,0.49,0,0,2019,1,3,9
"25",1.2,5.4,340,27,1.17,0,0,2019,1,3,10
"26",3,4.4,320,23,1.69,0,0,2019,1,3,11
"27",4.9,3.5,320,22,2.03,0,0,2019,1,3,12
"28",5.3,5.1,320,20,2.14,0,0,2019,1,3,13
"29",6.5,4.6,290,18,2.04,0,0,2019,1,3,14
"30",7.9,3.7,290,17,1.66,0,0,2019,1,3,15
"31",8,3.5,320,15,1.12,0,0,2019,1,3,16
"32",6.3,4.5,290,16,0.46,0,0,2019,1,3,17
"33",5,4.5,340,18,0,0,0,2019,1,3,18
"34",2,0.9,200,21,0.02,0,0,2019,1,4,8
"35",4.9,1.2,270,17,0.48,0,0,2019,1,4,9
"36",5.3,2.7,360,17,1.13,4,0,2019,1,4,10
"37",6.6,2.7,320,16,1.47,5,1,2019,1,4,11
"38",8.2,2.7,270,16,1.74,5,0,2019,1,4,12
"39",6.3,5.8,270,20,0.83,10,10,2019,1,4,13
"40",6.9,4.2,270,21,0.83,10,10,2019,1,4,14
"41",6.8,4.9,250,25,0.73,9,9,2019,1,4,15
"42",6.8,2.4,250,23,0.32,10,10,2019,1,4,16
"43",6.4,1.7,270,24,0.14,9,9,2019,1,4,17
