"","Temp","WS","WD","Humi","Solar","Cloud","LowCloud","Year","Month","Day","Time"
"1",-7.7,0.9,360,57,0,8,8,2019,1,1,8
"2",-7,0.9,290,50,0.17,9,9,2019,1,1,9
"3",-4.9,1.6,290,44,0.69,8,4,2019,1,1,10
"4",-3.7,2.5,290,41,1.25,5,1,2019,1,1,11
"5",-2.8,2.8,290,47,1.41,8,8,2019,1,1,12
"6",-1.5,2.7,270,49,1.42,7,7,2019,1,1,13
"7",-1.7,3.5,290,51,1.08,8,8,2019,1,1,14
"8",-1.5,3,270,46,0.66,4,3,2019,1,1,15
"9",-0.9,3.2,270,45,0.87,2,2,2019,1,1,16
"10",-1.8,2.2,290,48,0.28,2,2,2019,1,1,17
"11",-2.7,2.6,270,45,0.01,1,1,2019,1,1,18
"12",-8.7,0.8,290,63,0,0,0,2019,1,2,8
"13",-7.5,1.4,320,51,0.26,0,0,2019,1,2,9
"14",-5.6,1.5,320,40,0.88,0,0,2019,1,2,10
"15",-4.1,2.2,320,33,1.36,0,0,2019,1,2,11
"16",-2.8,3.2,320,29,1.69,0,0,2019,1,2,12
"17",-1.8,3,320,26,1.81,0,0,2019,1,2,13
"18",-0.2,2.5,270,22,1.73,0,0,2019,1,2,14
"19",0,2.6,290,23,1.43,0,0,2019,1,2,15
"20",0,2,320,22,0.94,0,0,2019,1,2,16
"21",-1,1.8,270,32,0.37,0,0,2019,1,2,17
"22",-2.6,2.2,270,37,0.01,0,0,2019,1,2,18
"23",-8.4,0.9,290,56,0,0,0,2019,1,3,8
"24",-7.7,0.5,20,43,0.25,0,0,2019,1,3,9
"25",-4.8,1,320,33,0.86,0,0,2019,1,3,10
"26",-2.4,1.3,290,30,1.35,0,0,2019,1,3,11
"27",-0.4,1.9,290,26,1.68,0,0,2019,1,3,12
"28",1.1,1.4,270,22,1.79,0,0,2019,1,3,13
"29",2.4,1.9,180,20,1.69,0,0,2019,1,3,14
"30",2.9,2.3,180,20,1.37,1,0,2019,1,3,15
"31",3.2,1.7,180,19,0.92,0,0,2019,1,3,16
"32",1.5,1.2,290,20,0.36,0,0,2019,1,3,17
"33",-0.4,1.6,270,22,0.01,0,0,2019,1,3,18
"34",-6.1,1.1,20,54,0,2,0,2019,1,4,8
"35",-5.4,1.3,50,49,0.22,3,0,2019,1,4,9
"36",-3.5,0.7,360,40,0.63,4,0,2019,1,4,10
"37",-1.5,1,360,37,0.73,9,9,2019,1,4,11
"38",-0.4,0.7,360,34,0.64,10,10,2019,1,4,12
"39",1.1,1.5,230,40,0.79,8,5,2019,1,4,13
"40",3.1,2.5,200,36,1.27,7,1,2019,1,4,14
