"","Temp","WS","WD","Humi","Solar","Cloud","LowCloud","Year","Month","Day","Time"
"1",-7.1,0,0,59,0,9,9,2019,1,1,8
"2",-6.2,1.2,340,60,0.12,6,6,2019,1,1,9
"3",-4.8,0.9,360,52,0.64,8,3,2019,1,1,10
"4",-3.7,1.4,340,53,1.17,5,1,2019,1,1,11
"5",-2.7,5.1,340,59,1.46,5,5,2019,1,1,12
"6",-2.6,5.9,340,62,0.87,8,8,2019,1,1,13
"7",-1.6,4.9,320,61,1.03,7,7,2019,1,1,14
"8",-1,5.5,320,57,1.22,4,4,2019,1,1,15
"9",-1.3,4.9,320,57,0.9,3,3,2019,1,1,16
"10",-1.7,4.5,320,55,0.33,2,2,2019,1,1,17
"11",-2.5,4.6,340,47,0.02,0,0,2019,1,1,18
"12",-5.9,1.8,340,65,0,0,0,2019,1,2,8
"13",-5.4,1.2,20,55,0.25,0,0,2019,1,2,9
"14",-4.6,1.8,360,50,0.78,0,0,2019,1,2,10
"15",-3.7,2.5,320,41,1.3,0,0,2019,1,2,11
"16",-3.1,2.9,320,42,1.66,0,0,2019,1,2,12
"17",-2.2,2.8,320,34,1.83,0,0,2019,1,2,13
"18",-1.1,2.4,290,33,1.73,0,0,2019,1,2,14
"19",-0.7,1.6,360,33,1.44,0,0,2019,1,2,15
"20",-1.3,3.4,340,36,1.01,0,0,2019,1,2,16
"21",-2.1,3.2,340,42,0.44,0,0,2019,1,2,17
"22",-2.5,2.7,320,44,0.02,0,0,2019,1,2,18
"23",-6.3,2,20,51,0,0,0,2019,1,3,8
"24",-5.2,0.3,0,46,0.26,0,0,2019,1,3,9
"25",-3.8,0.8,320,41,0.81,0,0,2019,1,3,10
"26",-2.7,2.4,340,35,1.31,0,0,2019,1,3,11
"27",-1.5,2.9,360,28,1.67,1,0,2019,1,3,12
"28",-0.4,3,20,27,1.78,3,0,2019,1,3,13
"29",0.6,2.2,340,26,1.68,0,0,2019,1,3,14
"30",1.5,1.4,340,25,1.38,2,0,2019,1,3,15
"31",1.9,1.9,270,29,0.95,0,0,2019,1,3,16
"32",0.6,3.3,270,42,0.43,0,0,2019,1,3,17
"33",-0.5,2.8,270,42,0.03,0,0,2019,1,3,18
"34",-4.3,0.6,140,59,0,5,3,2019,1,4,8
"35",-3.1,0.6,110,54,0.21,6,2,2019,1,4,9
"36",-1.4,1.1,160,52,0.55,8,5,2019,1,4,10
"37",-0.3,1.2,160,49,0.51,10,10,2019,1,4,11
"38",0.4,2.6,230,50,0.56,10,10,2019,1,4,12
"39",0.6,3,230,55,0.77,9,4,2019,1,4,13
"40",2.4,2.9,230,58,1.21,8,0,2019,1,4,14
"41",3.4,2.1,230,65,1.01,7,1,2019,1,4,15
"42",2.5,1.5,230,71,0.48,8,8,2019,1,4,16
"43",2,2.4,230,77,0.19,5,5,2019,1,4,17
"44",1.6,2.2,200,80,0.01,3,3,2019,1,4,18
"45",-4.5,3.2,20,47,0,1,0,2019,1,5,8
"46",-4.3,3.9,20,49,0.26,1,0,2019,1,5,9
"47",-3.8,5.2,360,40,0.82,4,0,2019,1,5,10
"48",-3.9,3.7,340,44,0.97,8,0,2019,1,5,11
"49",-2.7,2.2,320,39,1.55,7,0,2019,1,5,12
"50",-1.9,4.1,340,35,1.65,1,0,2019,1,5,13
"51",-1,4.7,340,29,1.74,0,0,2019,1,5,14
"52",-0.6,4.7,340,27,1.48,0,0,2019,1,5,15
"53",-0.4,3.9,360,26,1.02,0,0,2019,1,5,16
"54",-0.7,4,340,30,0.44,0,0,2019,1,5,17
"55",-1.2,2.2,320,29,0.04,0,0,2019,1,5,18
"56",-5.2,2.8,360,47,0,8,0,2019,1,6,8
"57",-5.3,2.2,20,43,0.14,7,0,2019,1,6,9
"58",-4.3,0.5,360,39,0.52,1,0,2019,1,6,10
"59",-2.7,1.8,340,31,1.13,0,0,2019,1,6,11
"60",-1.3,1.5,320,30,1.63,0,0,2019,1,6,12
"61",-0.6,2,340,33,1.76,0,0,2019,1,6,13
"62",1,1.5,250,30,1.72,0,0,2019,1,6,14
"63",1.7,2,250,36,1.47,0,0,2019,1,6,15
"64",1.5,2.2,250,43,1.01,0,0,2019,1,6,16
"65",0.2,2,270,44,0.47,0,0,2019,1,6,17
"66",-1.1,2,290,49,0.03,0,0,2019,1,6,18
"67",-4.6,1.3,200,48,0,2,0,2019,1,7,8
"68",-3.7,0.7,230,54,0.2,3,0,2019,1,7,9
"69",-1.6,0.7,230,51,0.66,5,0,2019,1,7,10
"70",-0.3,1.6,340,48,1.17,0,0,2019,1,7,11
"71",0.6,2.8,320,46,1.51,0,0,2019,1,7,12
"72",1.5,1.4,360,48,1.6,7,0,2019,1,7,13
"73",1.9,6,340,41,1.49,7,0,2019,1,7,14
"74",1.6,5.1,340,49,1.09,8,0,2019,1,7,15
"75",1.3,3.9,340,50,0.45,9,0,2019,1,7,16
"76",1,2.4,270,60,0.24,7,0,2019,1,7,17
"77",0.5,3,270,66,0,8,0,2019,1,7,18
"78",-3.1,4,340,50,0,0,0,2019,1,8,8
"79",-2.7,2.7,360,52,0.25,0,0,2019,1,8,9
"80",-2.3,5.1,340,47,0.79,0,0,2019,1,8,10
"81",-1.9,4.3,340,43,1.3,0,0,2019,1,8,11
"82",-1.7,5.5,340,37,1.69,0,0,2019,1,8,12
"83",-1.1,5.2,340,31,1.81,0,0,2019,1,8,13
"84",-0.5,5,340,29,1.73,0,0,2019,1,8,14
"85",0,5.6,340,29,1.45,2,0,2019,1,8,15
"86",-0.3,7.8,340,37,0.93,3,0,2019,1,8,16
"87",-1.1,6.9,320,37,0.33,1,0,2019,1,8,17
"88",-2,6.2,320,42,0.03,1,0,2019,1,8,18
"89",-8.2,2.5,50,41,0,5,0,2019,1,9,8
"90",-7.3,1.8,20,40,0.27,3,0,2019,1,9,9
"91",-4.8,1.1,160,33,0.76,8,0,2019,1,9,10
"92",-3.2,1.9,140,28,1.23,8,0,2019,1,9,11
"93",-2.1,1.1,160,27,1.29,9,0,2019,1,9,12
"94",-2.3,2.2,340,32,1.16,9,0,2019,1,9,13
"95",-1.8,2.4,360,33,1.43,8,0,2019,1,9,14
"96",-1,2,290,32,1.19,8,0,2019,1,9,15
"97",-1.1,1.7,290,31,0.84,8,0,2019,1,9,16
"98",-1.6,1.2,320,36,0.43,7,0,2019,1,9,17
"99",-3,2.6,340,42,0.03,3,0,2019,1,9,18
"100",-3.5,1.2,180,38,0,9,9,2019,1,10,8
"101",-3,1.6,160,33,0.12,8,4,2019,1,10,9
"102",-0.5,0.9,230,29,0.57,3,1,2019,1,10,10
"103",0.5,0.6,230,39,0.99,8,8,2019,1,10,11
"104",0.4,1.8,230,43,0.72,9,9,2019,1,10,12
"105",0.5,2.3,250,54,0.68,10,8,2019,1,10,13
"106",0.5,2.3,230,55,0.51,10,8,2019,1,10,14
"107",1.7,2.2,250,62,0.69,6,6,2019,1,10,15
"108",0.9,3.2,230,70,0.68,8,8,2019,1,10,16
"109",1.1,2.8,230,74,0.41,8,8,2019,1,10,17
"110",0.4,2.8,230,85,0.03,8,8,2019,1,10,18
"111",0.4,0.6,110,82,0,7,0,2019,1,11,8
"112",0.7,1.4,200,81,0.15,3,1,2019,1,11,9
"113",0.8,1.5,320,86,0.54,1,1,2019,1,11,10
"114",2.1,1.6,320,75,1.13,1,1,2019,1,11,11
"115",3.7,1.5,290,67,1.4,3,1,2019,1,11,12
"116",5,1.7,250,61,1.42,4,1,2019,1,11,13
"117",5.7,2.3,250,53,1.55,4,1,2019,1,11,14
"118",5.3,2,230,54,1.16,9,9,2019,1,11,15
"119",5.2,1.5,270,57,0.73,7,1,2019,1,11,16
"120",4.1,1,340,62,0.29,7,7,2019,1,11,17
"121",3.1,2.6,320,67,0.02,9,9,2019,1,11,18
"122",0.8,2,20,59,0,9,9,2019,1,12,8
"123",1.1,0.6,360,55,0.14,7,7,2019,1,12,9
"124",1.8,2.1,340,57,0.54,0,0,2019,1,12,10
"125",3.2,0.9,360,46,1.03,0,0,2019,1,12,11
"126",4.3,2.4,340,45,1.39,4,4,2019,1,12,12
"127",4.5,2.3,340,45,0.94,9,9,2019,1,12,13
"128",5.6,2.3,230,48,1.18,9,9,2019,1,12,14
"129",4.9,3.1,340,53,0.67,8,8,2019,1,12,15
"130",4.7,2.3,340,47,0.31,9,9,2019,1,12,16
"131",4,2.7,320,46,0.11,9,9,2019,1,12,17
"132",2.7,3.6,340,58,0.02,0,0,2019,1,12,18
"133",-2.7,3.3,340,75,0,2,2,2019,1,13,8
"134",-2.1,2,360,64,0.22,0,0,2019,1,13,9
"135",-0.9,1.4,20,54,0.72,0,0,2019,1,13,10
"136",1.5,0.6,20,42,1.22,0,0,2019,1,13,11
"137",3.1,1.2,360,39,1.57,0,0,2019,1,13,12
"138",3.9,1.6,320,32,1.78,0,0,2019,1,13,13
"139",4.9,2,340,36,1.66,0,0,2019,1,13,14
"140",6.1,2,270,42,1.39,0,0,2019,1,13,15
"141",5.4,2,340,53,0.96,0,0,2019,1,13,16
"142",4.5,2.5,320,63,0.41,0,0,2019,1,13,17
"143",3.2,2,270,73,0.03,0,0,2019,1,13,18
"144",-1.2,1.1,360,97,0,10,10,2019,1,14,8
"145",-0.6,1.5,230,97,0.08,10,10,2019,1,14,9
"146",0.8,1.1,110,88,0.46,0,0,2019,1,14,10
"147",1.6,0.8,270,91,0.83,10,10,2019,1,14,11
"148",2.8,0.7,180,79,0.93,4,4,2019,1,14,12
"149",3.8,0.8,230,70,1.1,7,4,2019,1,14,13
"150",4.1,1.4,230,71,0.94,7,4,2019,1,14,14
"151",4.2,2.4,250,67,0.76,7,3,2019,1,14,15
"152",4,1.9,270,65,0.6,10,0,2019,1,14,16
"153",3.2,2,250,68,0.24,8,0,2019,1,14,17
"154",2.6,1.5,230,74,0.02,7,0,2019,1,14,18
"155",-1,1.5,340,76,0,0,0,2019,1,15,8
"156",-0.3,2.5,340,73,0.1,8,8,2019,1,15,9
"157",-0.2,3.1,360,74,0.39,8,8,2019,1,15,10
"158",0.2,3.1,340,70,0.78,8,8,2019,1,15,11
"159",-0.1,6,340,67,0.81,7,7,2019,1,15,12
"160",0.3,5.5,340,62,1.09,3,3,2019,1,15,13
"161",0.8,7.3,340,53,1.58,1,1,2019,1,15,14
"162",0.3,6.2,320,56,1.31,2,2,2019,1,15,15
"163",-1.1,7.3,320,46,1.13,2,1,2019,1,15,16
"164",-2.6,8.9,340,46,0.55,2,0,2019,1,15,17
"165",-3.8,8.7,340,56,0.04,2,0,2019,1,15,18
"166",-8.9,2.6,20,51,0,6,0,2019,1,16,8
"167",-8.2,3.5,20,45,0.28,8,0,2019,1,16,9
"168",-7.3,2.1,360,43,0.61,9,0,2019,1,16,10
"169",-6,1.6,270,40,1.16,9,0,2019,1,16,11
"170",-4.7,2,290,39,1.69,5,0,2019,1,16,12
"171",-4.6,4.3,360,37,1.94,1,0,2019,1,16,13
"172",-3.2,2.9,320,30,1.9,0,0,2019,1,16,14
"173",-3,3.1,340,26,1.6,0,0,2019,1,16,15
"174",-2.2,1.7,360,32,1.14,1,0,2019,1,16,16
"175",-2.2,2.3,250,41,0.47,4,4,2019,1,16,17
"176",-3.3,1.8,230,46,0.06,3,3,2019,1,16,18
"177",-0.9,2.8,340,64,0,0,0,2019,1,17,8
"178",-0.8,3.4,340,66,0.25,0,0,2019,1,17,9
"179",-0.1,2.7,340,63,0.82,0,0,2019,1,17,10
"180",0.4,3.1,320,46,1.38,0,0,2019,1,17,11
"181",1.2,4.5,340,31,1.76,0,0,2019,1,17,12
"182",1.9,5,340,20,1.93,0,0,2019,1,17,13
"183",2.7,5,340,16,1.89,0,0,2019,1,17,14
"184",2.7,5.3,320,19,1.61,1,0,2019,1,17,15
"185",2.9,3.8,340,22,1.15,0,0,2019,1,17,16
"186",2.7,3.1,290,28,0.56,0,0,2019,1,17,17
"187",1.4,2.4,290,49,0.06,0,0,2019,1,17,18
"188",-3,1.7,20,47,0,0,0,2019,1,18,8
"189",-2.1,1,20,44,0.27,0,0,2019,1,18,9
"190",1,1,230,41,0.81,0,0,2019,1,18,10
"191",2.7,1.8,230,34,1.25,0,0,2019,1,18,11
"192",4,1.4,200,30,1.59,0,0,2019,1,18,12
"193",5.1,1.8,250,32,1.75,0,0,2019,1,18,13
"194",5.9,1.6,250,36,1.72,1,0,2019,1,18,14
"195",5.5,2.1,230,47,1.41,0,0,2019,1,18,15
"196",5,2,270,56,0.94,6,0,2019,1,18,16
"197",3.6,1.7,250,59,0.36,8,0,2019,1,18,17
"198",2.8,1,230,61,0.04,8,0,2019,1,18,18
"199",1.5,2.6,160,71,0,9,9,2019,1,19,8
"200",2.1,2.4,160,69,0.16,9,7,2019,1,19,9
"201",3.8,2.8,180,65,0.59,9,3,2019,1,19,10
"202",4.5,4.1,180,65,0.61,9,9,2019,1,19,11
"203",5.7,3,200,61,0.88,9,9,2019,1,19,12
"204",6.7,2.6,230,62,1.24,9,9,2019,1,19,13
"205",7.4,3,230,60,1.25,8,8,2019,1,19,14
"206",8,2.6,250,61,1.55,3,1,2019,1,19,15
"207",8,2.5,270,56,1.18,3,1,2019,1,19,16
"208",7.5,1.2,250,51,0.55,3,3,2019,1,19,17
"209",5.3,1.6,320,73,0.07,2,2,2019,1,19,18
"210",-2,7.5,340,50,0,0,0,2019,1,20,8
"211",-2.1,6.4,360,48,0.3,0,0,2019,1,20,9
"212",-1.8,8.1,340,42,0.89,0,0,2019,1,20,10
"213",-1.4,7.5,340,37,1.43,0,0,2019,1,20,11
"214",-0.7,7.2,340,32,1.79,0,0,2019,1,20,12
"215",0,5.9,340,30,1.95,0,0,2019,1,20,13
"216",0.1,7,340,30,1.91,0,0,2019,1,20,14
"217",0.2,6.2,320,28,1.66,0,0,2019,1,20,15
"218",0.4,6,320,25,1.22,0,0,2019,1,20,16
"219",-0.5,7,340,27,0.63,0,0,2019,1,20,17
"220",-1.2,5.6,340,32,0.1,0,0,2019,1,20,18
"221",-3.4,3.7,180,60,0,6,6,2019,1,21,8
"222",-2.5,4.3,200,63,0.15,8,8,2019,1,21,9
"223",-1.2,4.7,180,61,0.45,8,8,2019,1,21,10
"224",0.5,2.7,200,63,0.65,9,9,2019,1,21,11
"225",2.8,6.5,270,69,0.47,9,9,2019,1,21,12
"226",3.1,5.6,270,66,0.6,9,9,2019,1,21,13
"227",3.5,4.4,250,65,0.75,6,6,2019,1,21,14
"228",4.3,5,250,64,1.21,8,8,2019,1,21,15
"229",4.4,4.1,250,68,0.64,4,4,2019,1,21,16
"230",4.2,6.3,270,70,0.39,1,1,2019,1,21,17
"231",3.6,5.4,270,72,0.07,0,0,2019,1,21,18
"232",0.1,1.5,180,85,0,0,0,2019,1,22,8
"233",1.4,1.3,160,79,0.32,0,0,2019,1,22,9
"234",3.6,2.4,180,71,0.84,0,0,2019,1,22,10
"235",5.4,2.9,230,66,1.35,1,1,2019,1,22,11
"236",6.3,3.6,230,60,1.74,2,2,2019,1,22,12
"237",6.1,4.4,230,55,1.93,8,8,2019,1,22,13
"238",6.1,4.4,250,57,1.88,7,7,2019,1,22,14
"239",6.5,3.3,250,58,1.58,3,3,2019,1,22,15
"240",6.1,3.2,250,62,1.09,0,0,2019,1,22,16
"241",5.3,2.7,250,66,0.51,0,0,2019,1,22,17
"242",4.1,3.2,230,71,0.07,0,0,2019,1,22,18
"243",1.4,1.3,270,93,0,0,0,2019,1,23,8
"244",1.8,1.3,270,94,0.23,0,0,2019,1,23,9
